continent,country,population,day,time,cases_active,cases_critical,cases_recovered,case_total,deaths_total,tests_total,tests_1M_pop
Oceania,Oceania,,2025-12-30,2025-12-30T15:15:02+00:00,110368.0,31.0,14752388.0,14895771,33015.0,,
Africa,Africa,,2025-12-30,2025-12-30T15:15:02+00:00,511224.0,529.0,12090808.0,12860924,258892.0,,
All,All,,2025-12-30,2025-12-30T15:15:02+00:00,22123398.0,34794.0,675619811.0,704753890,7010681.0,,
North-America,USA,334805269.0,2025-12-30,2025-12-30T15:15:02+00:00,786167.0,940.0,109814428.0,111820082,1219487.0,1186851502.0,3544901
Asia,India,1406631776.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,45035393,533570.0,935879495.0,665334
Europe,France,65584518.0,2025-12-30,2025-12-30T15:15:02+00:00,0.0,,39970918.0,40138560,167642.0,271490188.0,4139547
Europe,Germany,83883596.0,2025-12-30,2025-12-30T15:15:02+00:00,405368.0,,38240600.0,38828995,183027.0,122332384.0,1458359
South-America,Brazil,215353593.0,2025-12-30,2025-12-30T15:15:02+00:00,1783377.0,,36249161.0,38743918,711380.0,63776166.0,296146
Asia,S-Korea,51329899.0,2025-12-30,2025-12-30T15:15:02+00:00,0.0,,34535939.0,34571873,35934.0,15804065.0,307892
Asia,Japan,125584838.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,33803572,74694.0,100414883.0,799578
Europe,Italy,60262770.0,2025-12-30,2025-12-30T15:15:02+00:00,165544.0,22.0,26361218.0,26723249,196487.0,281126449.0,4665010
Europe,UK,68497907.0,2025-12-30,2025-12-30T15:15:02+00:00,0.0,,24678275.0,24910387,232112.0,522526476.0,7628357
Europe,Russia,145805947.0,2025-12-30,2025-12-30T15:15:02+00:00,175641.0,,23545818.0,24124215,402756.0,273400000.0,1875095
Asia,Turkey,85561976.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,17232066,102174.0,162743369.0,1902052
Oceania,Australia,26068792.0,2025-12-30,2025-12-30T15:15:02+00:00,8716.0,3.0,11820014.0,11853144,24414.0,81916639.0,3142326
Asia,Vietnam,98953541.0,2025-12-30,2025-12-30T15:15:02+00:00,941018.0,,10640971.0,11625195,43206.0,85826548.0,867342
Asia,Taiwan,23888595.0,2025-12-30,2025-12-30T15:15:02+00:00,0.0,,10222518.0,10241523,19005.0,30742304.0,1286903
South-America,Argentina,46010234.0,2025-12-30,2025-12-30T15:15:02+00:00,746.0,,9997258.0,10128845,130841.0,35716069.0,776264
Europe,Netherlands,17211447.0,2025-12-30,2025-12-30T15:15:02+00:00,195.0,,8612599.0,8635786,22992.0,25984435.0,1509718
North-America,Mexico,131562772.0,2025-12-30,2025-12-30T15:15:02+00:00,467986.0,,6899865.0,7702809,334958.0,20013810.0,152124
Asia,Iran,86022837.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,7627186,146811.0,57320267.0,666338
Asia,Indonesia,279134505.0,2025-12-30,2025-12-30T15:15:02+00:00,20054.0,,6647104.0,6829221,162063.0,114158919.0,408975
Europe,Poland,37739785.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,6661991,120598.0,39323709.0,1041970
South-America,Colombia,51512762.0,2025-12-30,2025-12-30T15:15:02+00:00,44821.0,342.0,6212152.0,6400173,143200.0,36951507.0,717327
Europe,Greece,10316637.0,2025-12-30,2025-12-30T15:15:02+00:00,,,,6101379,37869.0,102228365.0,9909078
